objectid,filename,youtubeid,title,director,releaseyear,description,date,method,permalinks,language,subtitlelang,format
kingandtheclown,,,왕의 남자 The King and the Clown,"Yi, Chun-ik",2005,Set during the Joseon Dynasty.,1495,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6617705,kor,Information not available.,text/csv
chunhyangdyon,,,춘향 Chʻunhyangdyŏn Chunhyang,"Im, Kwon-taek",2000,"Set in 18th Century Korea, this film is based on the Chʻunhyangdyŏn, a classic pansori folktale. The판소리 (p'ansori) is a Korean musical genre that includes a singer and a drummer. Also see Sŏp'yŏnje.",1754,dvd,"http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=3955754 (Asian Library);
 http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=2701659 (Koerner);
 http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6609897",kor,kor; eng; chi; jpn ,text/csv
sado,,,사도 Sado,"Yi, Chun-ik",2014,"A fictionalized depiction of King Yeongjo’s son, Crown Prince Sado’s life and death. He died in 1762 after being confined in a rice chest. Crown Prince Sado’s life and death is described in the autobiography, Hanjungnok한중록Memoirs of Lady Hyegyeong.",1762,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8326732,kor,kor; eng,text/csv
agassi,,,아가씨Agassi The Handmaiden,"Park, Chan-wook",2016,"Set amidst Korea under Japanese colonization in the 1930s. The film uses a contrast of Korean and Japanese names and the hierarchy of language. The character, Uncle Kouzuki, is also a wealthy Korean man during colonial rule because of his role as a collaborator.",1930,dvd; online,"http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8567890 (DVD);
http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=11822055 (Online)",kor; jpn,eng; spa,text/csv
milchong,,,밀정 Milchŏng Age of Shadows,"Kim, Chi-un",2016,"Depicts Korean collaborators, a term used for Korean citizens who worked with/for the Japanese government in order to obtain status, money, and power. Korean independence resistance movements/fighters were located in Korea and abroad such as in Shanghai.",1932,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=10073567,kor,kor; eng,text/csv
amsal,,,암살 Amsal Assassination,"Ch'oe, Tong-hun",2015,"Korea was under Japanese colonial rule and resistance movements and members were exiled abroad such as to Shanghai. In Shanghai, the Korean National Revolutionary Party was formed and led by Kim Won-bong. In addition, Kim Goo was the leader of the Korean independence movement who was an important political figure during immediate post-1945 period.",1933,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=9354159,kor,eng,text/csv
chayumanse,,,자유 만세Chayu manse Hurrah! For freedom,"Ch'oe, In-gyu",1946,Film created immediately following Korea’s independence. Depicts a Korean resistance fighter.,1946,dvd; online,"http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=5036160;
 https://youtu.be/l2uu9hJsjSk",kor,kor; eng,text/csv
hyolmaek,,,혈맥Hyŏlmaek Bloodline,Kim Su-yong,1963,"Following the Korean War, the lands and livelihood of the citizens were devastated. In this setting, this film depicts the intergenerational conflict following the Korean War regarding a stance of pro or anti-communism.",1946,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=7250798,kor,kor; eng; jpn,text/csv
taebaeksanmaek,,,태백산맥Tʻaebaek Sanmaek The Taebaek Mountains,"Im, Kwon-taek",1994,Depicts the political tensions on the Korean peninsula in 1948 as civil and external influences rise. Based on the novels by조정래Cho Chŏng-nae,1948,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=3955767,kor,eng,text/csv
taegukkihwinallimyŏ,,,태극기 휘날리며Tʻaegŭkki hwinallimyŏ Tae Guk Gi: The Brotherhood of War,"Kang, Che-gyu",2004,"Set during the Korean War, starting from the outbreak of the conflict in 1950. Addresses the separation of family, defection and accusations of such between the south and north, and the devastation of the war.",1950,dvd,"http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4177086 (Asian Library);
 http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6611952 (Koerner)",kor; eng,eng; fre,text/csv
kunbonomnunyongsa,,,군번 없는 용사Kunbŏn ŏmnŭn yongsa A hero without a serial number,"Yi, Man-hŭi",1966,"Depiction of the outbreak of the Korean War, fighting, and family separation",1950,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149564; http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149552 (DVD Box),kor,kor; jpn; chi; eng; fre; spa; rus,text/csv
chungon,,,증언Chŭngŏn Testimony,"Im, Kwon-taek",1973,Depiction of early outbreak and fighting of the Korean War outbreak. Specifically addresses the initial outbreak of war and North Korean entry into South Korea. Also addresses Operation Chromite and the cooperation with UN forces.,1950,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149556; http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149552 (DVD Box),kor,kor; jpn; chi; eng; fre; spa; rus,text/csv
nambugun,,,남부군Nambugun North Korean Partisan in South Korea,"Chŏng, Chi-yŏng",1990,Based on a novel and true story by이태 Lee Tae. Depicts a perspective of the Korean War from a North Korean partisan.,1950,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149522,kor,kor;eng; jpn,text/csv
frontline,,,고지전 The Front Line,"Hun, Jang",2011,Primarily addresses the ending events of the Korean War including the final battles and shaping of an armistice/ceasefire,1953,N/A,,kor,,text/csv
chayupuin,,FkAbVQhfpmw,자유 부인Chayu Puin Madame Freedom Freedom,"Han, Hyŏng-mo",1956,"Set following the Korean War, this film explores the post-war experience through the protagonist, Oh Seon-yeong. It explores the post-war economic conditions and class, especially through the presence of ‘Western’ imports such as makeup, fashion, and music. In addition, the social conditions and sentiments on the roles of women in this time are explored through the morally challenging relationships depicted.",1956,dvd; online,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6603466; https://www.youtube.com/watch?v=FkAbVQhfpmw (YouTube),kor,kor; jpn; chi; eng; fre; spa; rus; ara,video/mp4
chiokhwa,,,"지옥화 Chiokhwa The flower
in hell ","

Shin, Sang-ok",1958,"Set in post-war Seoul, the protagonist, Sonya, works at an American military base as a prostitute. The film comments on the reality of life after the Korean War and the presence of American military bases in South Korea. The film notably has a military base setting, focus on Korean prostitutes, explore the value placed on American goods (e.g., beer, music), and the black market established for these products. These notes highlight the intersections of war, economic struggle, and the interactions between Korean citizens and American soldiers.",1958,dvd; online, http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149526;  https://www.youtube.com/watch?v=4FU1Hc7Zk24 (YouTube),kor,kor;eng; jpn,text/csv
hanyo,,,"하녀 Hanyŏ The
Housemaid ","Kim, Ki-young",1960,"This film follows a male protagonist who works as a music teacher
at a textile factory. One of the girls at the textile factory is hired to work
for his family as a housemaid. Following the Korean war, poor rural families sent
women to newly established factories in the city in order to earn income. The
hiring of rural women as housemaids (see
The Handmaiden) and ‘factory girls’ were not new however; the latter arose
amidst industrialization in the 1920s. Notably, the director also explores the
experience of ‘Western’ imports such as fashion and norms. In summary, this
film explores class dynamics and ‘factory girls’ in post-war Korea. ",1960,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4111451 (Asian Library),kor,eng; kor; fre; jpn,text/csv
